frame,track_id,class_id,class_name,confidence,x1,y1,x2,y2
34,5,0,person,0.5874,229.4,238.7,241.1,262.5
35,1,2,car,0.8179,272.3,238.6,297.2,258.1
35,2,0,person,0.7483,477.7,236.2,495.6,286.3
35,3,2,car,0.6700,310.7,241.3,335.3,261.4
35,6,0,person,0.6370,440.5,237.8,453.7,275.1
35,7,0,person,0.6937,459.9,238.1,476.1,286.0
35,5,0,person,0.6510,228.0,238.4,240.1,262.7
36,1,2,car,0.7786,271.8,238.6,297.0,258.3
36,2,0,person,0.7586,478.6,235.7,497.1,287.1
36,3,2,car,0.6710,310.2,241.7,334.8,261.8
36,6,0,person,0.6394,441.7,238.1,454.9,275.5
36,7,0,person,0.6962,461.3,238.5,477.5,287.0
36,5,0,person,0.6873,226.6,238.4,238.8,262.8
37,1,2,car,0.7595,271.3,238.7,296.6,258.5
37,2,0,person,0.8116,479.9,235.3,498.6,287.3
37,3,2,car,0.5679,309.5,241.6,334.5,262.0
37,6,0,person,0.6807,442.5,238.2,455.9,276.5
37,7,0,person,0.7581,463.0,239.0,479.2,287.6
37,5,0,person,0.6259,225.6,238.8,237.8,262.9
38,1,2,car,0.7378,270.7,239.1,295.9,258.8
38,2,0,person,0.8092,481.3,235.1,500.4,288.1
38,3,2,car,0.6062,309.4,242.5,333.6,262.3
38,6,0,person,0.6284,443.1,238.4,456.5,276.8
38,7,0,person,0.7689,464.8,239.7,480.9,288.3
38,5,0,person,0.4215,224.2,238.7,236.6,263.2
39,1,2,car,0.7317,270.0,239.2,295.3,259.1
39,2,0,person,0.8205,482.8,234.9,502.1,288.5
39,3,2,car,0.6468,308.9,242.9,333.1,262.6
39,6,0,person,0.6750,443.7,238.4,457.1,277.1
39,7,0,person,0.7910,466.3,240.1,482.5,289.5
39,5,0,person,0.5701,222.9,238.7,235.7,263.8
40,1,2,car,0.7495,269.3,239.4,294.7,259.5
40,2,0,person,0.7929,484.3,235.0,504.0,289.5
40,3,2,car,0.6026,307.9,242.7,332.7,263.0
40,6,0,person,0.7588,444.5,238.3,458.0,277.1
40,7,0,person,0.7291,467.9,239.2,484.7,291.5
40,5,0,person,0.5838,221.3,238.5,234.6,264.6
41,1,2,car,0.7136,268.0,239.4,293.8,259.9
41,2,0,person,0.7146,485.9,235.2,506.0,291.0
41,3,2,car,0.5752,306.7,241.7,332.9,263.3
41,6,0,person,0.7642,445.2,238.1,458.6,276.9
41,7,0,person,0.6957,469.6,240.2,486.3,292.1
41,5,0,person,0.5374,220.6,238.9,233.7,264.4
42,1,2,car,0.7741,267.3,239.6,293.3,260.2
42,2,0,person,0.7414,488.4,235.2,508.9,292.1
42,3,2,car,0.5374,305.0,239.9,333.1,263.4
42,6,0,person,0.7508,445.8,238.6,459.5,278.2
42,7,0,person,0.6278,471.1,238.0,488.5,292.5
42,5,0,person,0.5391,219.3,238.5,232.9,264.9
43,1,2,car,0.7878,266.6,239.5,292.6,260.3
43,2,0,person,0.8271,490.0,235.3,510.8,292.9
43,3,2,car,0.6443,304.3,240.0,332.4,263.8
43,6,0,person,0.7626,446.2,238.8,460.2,279.2
43,7,0,person,0.6072,472.9,238.2,490.4,292.8
43,5,0,person,0.5972,218.0,238.5,231.7,265.1
44,1,2,car,0.7833,266.2,239.8,291.7,260.2
44,2,0,person,0.7866,492.5,235.5,513.9,294.1
44,3,2,car,0.6239,303.9,240.0,331.9,263.9
44,6,0,person,0.7331,446.9,238.8,461.2,280.1
44,7,0,person,0.7164,475.1,238.8,492.6,293.4
44,5,0,person,0.4827,217.1,239.0,230.8,265.3
45,1,2,car,0.7639,265.7,240.0,290.9,260.1
45,2,0,person,0.7237,493.8,235.8,515.4,294.8
45,3,2,car,0.5648,303.5,240.2,331.1,264.0
45,6,0,person,0.7307,447.5,238.6,461.8,280.3
45,7,0,person,0.7453,476.0,239.5,493.3,293.8
46,1,2,car,0.7747,264.9,240.3,289.7,260.1
46,2,0,person,0.7850,496.5,236.0,518.7,295.8
46,3,2,car,0.4102,301.7,237.4,332.0,264.0
46,6,0,person,0.7479,448.7,238.5,463.5,281.2
46,7,0,person,0.7339,477.1,239.6,494.8,294.6
47,1,2,car,0.7852,264.1,240.6,288.8,260.3
47,2,0,person,0.8481,498.2,236.3,520.7,296.7
47,3,2,car,0.4105,301.0,237.3,331.1,264.2
47,6,0,person,0.7932,449.6,238.6,464.8,282.2
47,7,0,person,0.6555,479.0,240.0,496.8,295.6
47,5,0,person,0.5419,213.9,239.4,227.3,265.9
48,1,2,car,0.8090,263.3,241.0,287.8,260.4
48,2,0,person,0.8137,500.3,235.8,523.4,297.9
48,3,7,truck,0.3634,299.7,235.7,331.4,264.4
48,6,0,person,0.7743,450.4,238.7,465.9,282.8
48,7,0,person,0.6315,480.8,240.6,498.7,296.8
48,5,0,person,0.5497,212.5,239.3,225.7,265.5
49,1,2,car,0.8015,262.3,241.0,287.0,260.5
49,2,0,person,0.8335,502.2,235.6,525.8,299.5
49,3,2,car,0.5799,299.2,236.5,329.3,264.0
49,6,0,person,0.7450,450.9,238.9,466.7,283.1
49,7,0,person,0.5322,482.2,241.4,500.3,297.9
49,5,0,person,0.4786,211.0,238.9,224.6,265.8
50,1,2,car,0.7946,261.4,240.9,286.2,260.5
50,2,0,person,0.8642,503.9,235.5,527.8,300.1
50,3,2,car,0.5253,298.6,236.5,328.1,263.7
50,6,0,person,0.7349,451.6,239.2,467.5,283.5
50,7,0,person,0.6842,484.8,241.9,503.0,298.8
50,5,0,person,0.5986,209.6,238.7,223.0,265.9
50,10,7,truck,0.5052,300.2,235.0,327.2,264.4
50,8,0,person,0.6122,440.4,250.4,454.6,283.6
51,1,2,car,0.7890,260.3,240.8,285.4,260.6
51,2,0,person,0.8338,505.7,235.4,529.9,301.0
51,3,2,car,0.5186,298.0,236.4,327.3,263.8
51,6,0,person,0.7308,452.4,239.5,468.5,284.1
51,7,0,person,0.6741,487.1,242.0,505.7,299.7
51,5,0,person,0.5369,208.4,238.9,221.5,266.0
51,8,0,person,0.5097,440.8,250.0,455.4,284.1
52,1,2,car,0.7629,259.3,240.6,284.5,260.5
52,2,0,person,0.8097,508.0,234.8,532.5,301.6
52,3,7,truck,0.3796,296.3,235.5,327.2,264.6
52,6,0,person,0.7411,453.2,239.9,469.3,284.7
52,7,0,person,0.7044,489.1,242.2,508.0,300.5
52,5,0,person,0.5807,207.3,239.1,220.1,266.2
52,8,0,person,0.4329,441.4,250.2,456.3,284.6
53,1,2,car,0.7974,257.9,240.6,283.3,260.7
53,2,0,person,0.8249,510.5,234.6,535.4,302.5
53,3,2,car,0.5349,295.2,234.9,326.3,264.8
53,6,0,person,0.7495,454.0,240.0,470.2,285.1
53,7,0,person,0.8192,491.6,242.0,511.0,302.1
53,5,0,person,0.5459,205.9,239.3,218.4,266.0
53,8,0,person,0.5137,441.9,248.9,457.5,285.2
53,12,7,truck,0.4378,297.2,234.9,324.6,265.0
54,1,2,car,0.7453,256.8,240.6,282.1,260.7
54,2,0,person,0.8350,512.5,234.5,537.7,303.6
54,3,7,truck,0.3916,294.1,234.7,325.5,265.2
54,6,0,person,0.7778,455.0,240.0,471.5,285.7
54,7,0,person,0.7611,493.6,241.6,513.6,303.5
54,5,0,person,0.5991,204.0,239.3,216.5,266.4
54,8,0,person,0.5383,442.4,248.6,458.2,285.9
54,12,2,car,0.4506,296.5,235.2,323.6,264.9
55,1,2,car,0.7626,255.5,240.7,280.9,260.9
55,2,0,person,0.8304,515.2,233.8,541.0,304.7
55,3,7,truck,0.3570,293.4,234.8,324.7,265.5
55,6,0,person,0.7971,456.1,239.6,473.0,286.5
55,7,0,person,0.7373,496.0,241.8,516.4,305.4
55,5,0,person,0.6020,203.0,239.3,215.3,266.5
55,12,2,car,0.5674,295.8,235.3,323.0,265.1
55,13,0,person,0.4160,371.3,242.4,378.4,257.7
56,1,2,car,0.7270,254.6,240.9,279.7,260.9
56,2,0,person,0.8480,518.5,233.6,544.4,305.5
56,3,7,truck,0.4211,292.7,235.0,323.8,265.8
56,6,0,person,0.7683,456.8,239.5,474.0,287.1
