frame,track_id,class_name,warning_type,distance_m,ttc_s,x1,y1,x2,y2
23,5,car,VEHICLE TOO CLOSE,3.6,1.2,1049.7,347.7,1280.0,719.3
23,5,car,TTC WARNING,3.6,1.2,1049.7,347.7,1280.0,719.3
24,2,car,FRONT OBJECT,23.0,,613.0,500.1,695.8,558.9
24,1,car,FRONT OBJECT,17.6,4.3,649.4,500.0,767.5,576.5
24,3,car,VEHICLE TOO CLOSE,7.2,1.7,833.0,456.1,1076.8,644.3
24,3,car,TTC WARNING,7.2,1.7,833.0,456.1,1076.8,644.3
25,2,car,FRONT OBJECT,22.5,,616.2,499.2,701.2,559.0
25,1,car,FRONT OBJECT,17.6,4.6,650.4,499.5,769.0,576.0
25,3,car,VEHICLE TOO CLOSE,7.1,1.6,833.6,455.9,1080.4,646.6
25,3,car,TTC WARNING,7.1,1.6,833.6,455.9,1080.4,646.6
26,2,car,FRONT OBJECT,22.6,,616.9,498.4,701.3,558.1
26,1,car,FRONT OBJECT,17.3,5.5,650.4,499.3,771.7,577.4
26,3,car,VEHICLE TOO CLOSE,7.0,1.5,834.2,455.0,1084.0,646.8
26,3,car,TTC WARNING,7.0,1.5,834.2,455.0,1084.0,646.8
27,2,car,FRONT OBJECT,22.0,,617.9,497.2,704.6,558.5
27,1,car,FRONT OBJECT,16.9,5.4,650.7,498.3,774.6,578.1
27,3,car,VEHICLE TOO CLOSE,7.1,1.8,839.5,454.1,1089.6,645.0
27,3,car,TTC WARNING,7.1,1.8,839.5,454.1,1089.6,645.0
28,2,car,FRONT OBJECT,22.0,43.2,619.0,496.5,705.9,558.0
28,1,car,FRONT OBJECT,16.9,5.1,651.9,497.7,776.2,577.4
28,3,car,VEHICLE TOO CLOSE,7.0,2.2,841.9,453.4,1096.8,646.1
28,3,car,TTC WARNING,7.0,2.2,841.9,453.4,1096.8,646.1
29,2,car,FRONT OBJECT,22.0,8.5,620.7,496.2,707.5,557.7
29,1,car,FRONT OBJECT,16.6,4.1,653.1,496.8,779.7,577.9
29,3,car,VEHICLE TOO CLOSE,6.9,2.6,843.0,452.2,1103.1,646.5
29,3,car,TTC WARNING,6.9,2.6,843.0,452.2,1103.1,646.5
30,2,car,FRONT OBJECT,21.7,4.5,622.5,495.7,709.8,557.8
30,1,car,FRONT OBJECT,16.6,3.5,654.6,496.1,781.7,577.2
30,3,car,VEHICLE TOO CLOSE,6.9,3.2,844.3,451.1,1110.8,648.0
31,2,car,FRONT OBJECT,21.5,3.7,625.0,495.5,713.2,558.4
31,1,car,FRONT OBJECT,16.6,3.5,656.4,495.8,783.9,576.9
31,3,car,VEHICLE TOO CLOSE,6.8,3.8,852.3,450.1,1124.3,649.4
32,2,car,FRONT OBJECT,21.4,3.6,630.2,495.4,719.1,558.5
32,1,car,FRONT OBJECT,16.6,3.7,657.6,495.5,785.7,576.7
32,3,car,VEHICLE TOO CLOSE,6.6,3.5,856.7,448.7,1136.1,651.8
33,2,car,FRONT OBJECT,20.9,3.5,631.6,495.0,722.4,559.6
33,1,car,FRONT OBJECT,16.5,4.2,658.3,495.2,787.7,577.0
33,3,car,VEHICLE TOO CLOSE,6.6,3.4,859.4,447.7,1144.6,653.3
34,2,car,FRONT OBJECT,20.5,3.2,633.1,493.8,725.6,559.8
34,1,car,FRONT OBJECT,16.2,4.3,659.1,493.9,791.0,577.1
34,3,car,VEHICLE TOO CLOSE,6.5,3.2,857.8,445.5,1151.5,654.6
35,2,car,FRONT OBJECT,20.2,2.8,635.0,492.9,728.5,559.7
