frame,track_id,class_id,class_name,confidence,x1,y1,x2,y2
15,6,0,person,0.4179,427.0,239.2,437.8,265.4
15,7,0,person,0.6372,438.1,237.0,450.8,273.7
15,8,0,person,0.4484,419.4,241.0,428.8,266.3
16,1,2,car,0.7442,282.5,236.6,306.5,254.6
16,2,0,person,0.7056,452.0,234.4,467.7,274.2
16,5,0,person,0.4975,243.3,236.1,253.2,258.4
16,3,2,car,0.7370,318.5,241.5,340.5,257.9
16,6,0,person,0.5240,428.0,239.4,437.8,265.9
16,7,0,person,0.7011,438.9,236.6,451.5,274.0
17,1,2,car,0.7418,282.1,236.6,306.5,254.6
17,2,0,person,0.6854,453.1,234.6,468.6,274.8
17,5,0,person,0.5728,242.5,235.8,252.8,259.0
17,3,2,car,0.7351,318.2,241.4,340.4,258.1
17,6,0,person,0.5141,428.4,240.1,438.4,266.3
17,7,0,person,0.6301,439.4,236.3,452.6,274.5
17,8,0,person,0.3986,420.4,241.4,430.1,266.3
18,1,2,car,0.7433,281.6,236.7,306.1,254.9
18,2,0,person,0.5574,455.1,234.6,469.9,275.0
18,5,0,person,0.5056,241.8,235.7,252.5,259.1
18,3,2,car,0.7094,317.8,241.4,340.3,258.3
18,6,0,person,0.6181,429.6,240.4,439.6,266.8
18,7,0,person,0.4899,440.8,236.7,453.2,274.9
19,1,2,car,0.7606,281.4,236.7,305.6,255.0
19,2,0,person,0.6164,457.1,234.0,470.8,275.1
19,5,0,person,0.5054,241.2,235.6,252.0,259.3
19,3,2,car,0.7204,317.3,241.3,340.2,258.4
19,6,0,person,0.6391,430.1,240.0,440.4,267.2
19,7,0,person,0.5469,442.3,237.1,454.5,275.4
19,8,0,person,0.4640,420.9,241.9,430.6,265.5
20,1,2,car,0.7651,280.8,236.8,305.1,255.0
20,2,0,person,0.7251,458.5,233.2,472.2,275.5
20,5,0,person,0.5882,240.3,235.5,251.4,259.4
20,3,2,car,0.6979,316.9,241.6,340.0,258.6
20,6,0,person,0.6756,431.3,239.8,441.6,267.3
20,7,0,person,0.6574,442.9,237.5,456.1,276.5
20,8,0,person,0.4356,421.2,242.7,431.5,266.4
21,1,2,car,0.7706,280.5,236.9,304.7,255.0
21,2,0,person,0.7031,459.4,233.1,473.4,276.1
21,5,0,person,0.4824,239.9,235.7,251.0,259.3
21,3,2,car,0.6398,316.6,241.6,339.9,258.7
21,6,0,person,0.6345,431.7,239.5,442.5,267.5
